Length,Width,Height,Permittivity,Conductivity,Bend,Feed,S11,VSWR,Gain,Efficiency,Bandwidth,epsilon_r,FaultLabel
42.82,37.67,0.86,2.1,13435.43,0.17,-14.47,-12.96,3.44,3.3,77.36,53.78,2.56,1
43.58,34.15,1.04,2.27,14609.0,0.57,-21.58,-15.06,1.41,2.25,54.55,157.87,2.39,1
44.66,39.21,1.21,1.78,4651.83,0.26,-22.98,-21.08,1.51,3.11,31.07,156.46,3.44,1
45.07,36.73,1.15,1.92,6633.1,0.25,-14.29,-3.06,1.09,4.33,61.0,110.82,3.94,1
44.19,33.92,0.83,2.24,9827.55,1.07,-10.24,-15.87,3.33,-0.56,68.17,151.74,2.97,1
44.65,30.11,1.24,1.87,12640.35,0.72,-24.03,-15.87,3.75,4.05,63.86,55.05,1.78,1
43.49,39.38,0.89,1.53,4816.92,0.69,-6.04,-3.04,3.19,1.72,67.56,93.79,2.31,1
40.53,38.16,1.07,2.18,13008.17,0.78,-20.16,-9.68,2.97,5.43,47.61,44.28,2.51,1
42.07,32.14,0.9,2.31,10327.84,0.84,-9.48,-18.47,2.42,-0.55,49.36,69.25,2.16,1
47.53,38.91,1.16,2.05,8395.67,0.78,-18.3,-6.92,2.1,4.4,31.0,83.64,1.83,1
46.71,34.36,1.52,2.26,12438.68,0.99,-18.63,-17.83,3.47,2.33,53.51,74.06,1.85,1
47.71,39.01,1.11,2.32,13428.99,1.15,-15.39,-5.36,3.47,2.29,73.07,56.2,3.44,1
45.25,32.81,1.55,1.7,4804.7,0.79,-18.76,-4.91,3.55,2.26,59.36,75.98,3.1,1
42.37,30.69,1.08,2.42,13513.08,0.72,-11.98,-5.78,3.06,-0.46,87.2,112.79,3.46,1
41.94,32.12,1.18,2.28,4374.47,0.88,-14.81,-9.94,1.04,5.59,35.55,87.54,3.27,1
40.07,39.26,1.09,1.59,3152.23,1.05,-16.63,-12.1,3.95,5.55,67.79,127.78,2.08,1
45.58,39.28,1.59,2.11,9028.17,1.18,-24.34,-21.38,3.11,1.2,59.86,114.75,2.33,1
46.16,35.85,1.13,1.53,3074.8,0.69,-11.63,-10.58,2.71,2.11,79.25,143.04,3.29,1
42.76,33.22,0.93,1.93,14151.02,0.11,-22.05,-10.29,3.14,1.47,55.64,83.58,3.28,1
48.53,39.43,1.44,2.0,9253.06,0.42,-24.02,-3.04,3.76,4.32,46.22,83.44,3.67,1
42.82,31.52,1.27,1.72,4254.71,1.09,-19.62,-11.23,1.39,0.99,38.31,73.13,2.18,1
47.61,32.83,1.26,2.38,3855.61,1.01,-10.97,-6.8,3.67,4.21,69.96,51.37,3.28,1
48.92,33.16,1.02,1.79,13639.81,0.48,-16.73,-17.75,1.8,5.09,56.62,104.11,1.66,1
43.33,33.1,1.49,2.01,13787.35,0.84,-19.87,-16.48,1.25,-0.6,85.76,110.28,3.22,1
49.9,30.32,1.22,2.24,14187.31,0.84,-7.18,-22.52,2.4,4.15,62.32,79.23,3.07,1
42.49,30.2,1.3,2.06,9459.46,0.57,-19.52,-9.16,1.11,-0.86,77.71,97.26,3.98,1
49.1,34.44,1.43,1.89,12682.15,0.53,-20.6,-20.68,3.82,3.11,32.99,86.6,2.13,1
44.63,33.17,1.4,2.27,3247.23,0.46,-18.75,-20.0,2.65,1.37,39.41,130.02,2.04,1
42.1,38.82,1.15,2.27,5446.31,1.11,-24.9,-10.19,3.79,4.57,67.7,43.23,2.71,1
43.19,32.47,1.03,1.87,3337.32,0.99,-17.15,-20.12,2.02,-0.15,51.94,83.42,2.73,1
49.91,37.18,1.56,2.04,9654.72,1.19,-21.2,-7.78,3.37,4.91,75.0,58.64,2.16,1
46.97,37.39,0.99,2.42,7798.26,0.29,-20.53,-6.46,3.72,3.39,40.16,64.24,2.93,1
40.69,30.85,1.38,2.4,13505.45,1.02,-18.5,-10.72,1.96,0.7,57.88,72.44,2.23,1
48.92,36.9,0.81,2.03,3767.87,0.51,-11.28,-6.32,1.88,0.2,57.02,52.65,1.67,1
40.69,30.85,1.38,2.4,13505.45,1.02,-18.5,-10.72,1.96,0.7,57.88,72.44,2.23,1
47.63,37.91,1.33,1.68,12871.51,0.35,-8.42,-11.21,3.53,2.77,30.81,150.77,1.66,1
43.62,32.76,1.31,1.82,8582.44,0.27,-5.58,-20.6,2.63,2.23,77.0,69.92,1.61,1
43.03,34.05,0.86,2.28,14019.43,0.8,-13.22,-7.72,1.28,4.23,71.17,58.4,3.6,1
48.16,31.01,0.92,2.2,3542.81,0.73,-6.8,-13.25,3.04,-0.81,68.1,112.76,2.46,1
49.18,35.0,1.3,1.9,7108.81,0.79,-9.56,-15.14,2.63,-0.04,50.53,93.3,3.77,1
45.09,30.12,0.99,1.51,8251.2,1.06,-7.39,-11.74,3.88,5.38,60.63,87.2,3.01,1
40.69,38.96,1.24,2.38,12520.91,0.91,-5.88,-17.42,2.88,5.34,44.76,40.73,1.83,1
46.36,31.84,1.59,1.6,9970.19,0.27,-7.05,-4.2,3.41,1.21,44.57,130.58,3.17,1
44.97,32.12,1.08,2.28,4777.95,0.65,-15.12,-20.94,1.98,3.81,39.32,138.24,3.62,1
45.74,37.62,1.58,2.37,9104.27,0.48,-21.2,-15.52,2.06,0.96,71.51,138.88,1.88,1
49.79,38.92,0.97,2.14,13889.84,0.82,-23.77,-15.12,2.0,3.52,33.7,119.08,3.55,1
49.08,35.15,0.95,1.83,9603.17,0.91,-18.65,-6.87,3.49,5.8,67.9,105.03,2.54,1
42.39,39.68,1.44,1.95,3965.35,0.45,-14.84,-4.48,1.33,2.86,72.39,105.69,2.56,1
48.16,31.01,0.92,2.2,3542.81,0.73,-6.8,-13.25,3.04,-0.81,68.1,112.76,2.46,1
46.32,34.8,1.45,2.11,9731.05,0.43,-5.93,-3.3,3.99,4.48,89.37,105.11,2.76,1
42.53,38.82,1.42,2.11,4087.55,0.13,-24.78,-19.49,3.29,1.71,76.53,115.08,3.82,1
48.5,31.06,1.23,2.25,9921.85,0.35,-15.18,-15.93,1.36,1.47,89.41,45.64,3.93,1
44.71,39.5,1.44,1.78,9698.18,0.86,-9.09,-15.18,2.2,4.37,55.9,69.75,1.82,1
44.54,30.72,1.41,2.25,6340.96,0.27,-6.1,-9.8,2.17,-0.96,42.88,98.46,3.94,1
40.99,31.7,1.34,2.22,3487.16,0.63,-15.41,-15.66,3.29,5.79,31.88,151.55,3.86,1
45.58,32.35,1.45,2.4,3436.84,0.83,-6.67,-9.99,1.19,3.49,33.91,58.32,1.51,1
46.56,39.93,1.36,2.4,11607.26,1.04,-15.94,-20.36,2.48,4.66,57.87,44.22,2.88,1
45.09,32.59,1.1,1.93,8402.78,0.64,-8.3,-11.12,3.58,2.61,61.42,115.45,2.64,1
42.64,36.28,1.55,2.01,14185.79,0.82,-11.44,-3.32,1.61,0.78,64.33,107.98,3.99,1
47.13,33.1,1.56,2.11,3638.76,0.4,-15.09,-24.05,3.69,1.96,61.81,43.27,3.33,1
49.85,34.46,1.32,2.49,11378.36,0.56,-14.2,-14.08,2.35,2.97,48.55,53.77,2.81,1
44.03,35.91,1.05,1.66,10656.42,0.28,-21.62,-6.3,3.33,-0.3,74.18,138.77,3.48,1
49.62,34.47,1.13,1.62,3091.41,0.24,-23.05,-7.66,2.16,4.79,69.81,92.78,2.18,1
45.25,34.87,1.09,2.08,13444.83,1.0,-17.01,-3.59,3.87,3.9,36.2,147.71,2.16,1
41.37,37.03,1.59,2.44,14539.35,0.6,-11.82,-23.16,2.76,4.16,83.86,49.92,2.43,1
43.97,32.39,1.49,2.2,7957.3,0.79,-22.26,-3.55,3.26,4.76,42.37,140.76,2.21,1
42.25,35.79,0.82,2.32,8117.25,0.9,-24.49,-7.52,2.65,-0.85,32.89,88.84,3.11,1
42.29,30.05,1.49,2.27,14361.43,0.25,-5.52,-17.74,2.69,-0.86,77.67,152.2,2.64,1
46.87,32.28,0.86,1.74,8089.05,0.83,-10.52,-18.31,3.48,3.45,42.84,156.93,3.77,1
42.0,37.72,0.9,1.72,9209.98,0.77,-10.83,-24.26,3.13,-0.81,41.86,58.49,3.96,1
49.32,35.76,1.37,1.96,3889.1,0.21,-15.89,-11.2,2.15,0.29,82.07,154.97,3.23,1
41.23,33.74,1.22,1.73,12695.23,0.52,-20.23,-18.22,3.47,5.33,87.62,41.82,3.04,1
41.36,30.08,1.56,1.94,10935.47,0.72,-10.97,-5.4,1.99,3.6,30.89,75.61,2.28,1
45.57,35.71,1.33,2.44,3219.5,0.44,-15.75,-13.63,3.72,2.5,44.19,142.87,2.11,1
42.2,35.78,1.33,2.09,11648.34,0.72,-7.01,-22.67,3.88,5.44,83.94,82.61,2.89,1
40.49,35.3,1.22,2.11,9558.79,0.82,-7.6,-18.02,3.39,0.59,49.85,99.33,3.17,1
41.49,37.88,0.95,1.71,10364.99,0.33,-17.37,-21.41,3.07,3.31,84.43,51.46,1.53,1
41.89,32.25,1.32,2.44,9437.62,0.12,-8.05,-4.98,1.42,1.78,72.85,91.92,1.9,1
42.96,30.48,0.98,2.22,12599.51,0.86,-23.84,-7.36,3.48,1.13,44.87,127.77,2.92,1
49.99,38.28,1.49,1.53,14428.7,1.01,-8.53,-4.61,2.24,-0.46,64.17,104.28,1.53,1
43.28,34.61,0.87,1.95,9655.38,1.1,-20.82,-4.41,2.02,-0.68,84.56,110.34,3.92,1
41.75,30.37,0.99,2.26,13336.55,0.89,-18.27,-6.24,2.37,5.74,76.33,50.83,2.77,1
45.7,32.97,1.23,1.88,6544.56,0.59,-20.49,-14.57,1.72,-0.87,31.33,90.84,3.66,1
47.27,36.38,1.04,1.51,10222.67,0.43,-9.82,-6.61,3.26,4.29,87.19,118.05,3.92,1
49.55,35.63,1.03,1.66,11716.07,0.41,-8.82,-4.17,2.06,1.65,48.11,70.68,3.04,1
43.32,37.4,1.06,1.65,9940.33,0.17,-17.54,-19.41,2.0,2.4,62.14,50.12,2.36,1
45.85,32.32,1.14,1.71,4779.76,0.4,-22.86,-21.83,3.91,5.03,89.96,123.1,2.72,1
46.79,34.3,1.59,1.54,10348.89,0.97,-18.81,-4.1,1.73,1.23,54.17,48.77,2.48,1
43.24,37.12,1.11,2.31,10604.78,0.14,-15.59,-13.58,1.18,-0.59,78.16,71.49,1.71,1
49.55,35.63,1.03,1.66,11716.07,0.41,-8.82,-4.17,2.06,1.65,48.11,70.68,3.04,1
45.25,34.87,1.09,2.08,13444.83,1.0,-17.01,-3.59,3.87,3.9,36.2,147.71,2.16,1
43.8,31.4,1.59,1.57,3226.94,0.86,-20.46,-23.13,1.44,3.68,60.25,46.44,3.95,1
48.11,39.34,1.35,2.36,3646.67,1.03,-9.43,-8.06,1.99,-0.89,59.68,104.13,3.58,1
42.46,34.7,1.28,1.79,11891.7,0.85,-16.77,-21.23,1.36,3.44,33.17,155.85,3.27,1
48.66,37.92,1.39,1.5,4721.16,0.33,-13.45,-24.93,1.38,2.39,32.46,78.25,3.86,1
49.29,31.65,1.51,1.77,12032.07,1.08,-7.14,-7.01,1.25,5.65,63.72,72.77,2.33,1
45.74,37.62,1.58,2.37,9104.27,0.48,-21.2,-15.52,2.06,0.96,71.51,138.88,1.88,1
47.39,35.26,1.6,1.66,7623.24,0.42,-7.43,-14.36,3.74,3.95,89.93,111.97,2.94,1
46.47,30.3,0.93,2.48,12268.75,0.13,-14.71,-16.01,1.51,1.74,85.47,53.65,1.94,1
47.13,37.05,1.49,1.87,14943.02,1.16,-24.73,-7.6,3.05,-0.41,88.33,47.78,2.36,1
40.62,36.0,0.99,1.83,13482.66,0.97,-14.69,-5.71,2.75,0.96,88.56,47.12,3.05,1
40.66,30.85,0.88,2.24,11842.25,0.52,-5.25,-21.44,3.31,1.76,74.56,41.9,3.5,1
44.71,32.49,0.89,1.82,3643.52,0.44,-18.46,-23.3,2.72,4.89,66.63,52.54,3.9,1
42.64,36.28,1.55,2.01,14185.79,0.82,-11.44,-3.32,1.61,0.78,64.33,107.98,3.99,1
46.66,39.37,1.4,1.96,8609.89,0.97,-8.08,-7.51,3.3,1.33,66.46,47.29,3.26,1
48.29,30.55,0.82,1.68,6304.0,0.74,-14.19,-18.5,2.89,5.24,71.6,42.82,2.19,1
44.43,39.29,1.39,2.05,13355.03,0.43,-12.24,-9.51,3.18,3.26,54.15,88.98,3.84,1
43.79,30.14,1.06,2.2,3727.24,0.91,-23.13,-16.28,2.56,-0.7,34.74,142.65,2.8,1
41.61,39.28,0.87,2.39,7398.61,0.97,-9.11,-14.18,2.51,-0.71,46.64,91.6,1.77,1
46.19,37.92,1.36,2.41,7024.56,1.06,-16.77,-23.99,2.43,-0.26,59.54,151.75,2.36,1
46.86,30.3,1.54,2.46,11670.51,0.19,-23.59,-17.1,1.09,1.44,30.6,156.92,2.59,1
40.82,35.74,1.46,2.25,10381.56,0.24,-22.39,-7.76,2.17,2.0,87.87,150.68,3.56,1
41.25,34.32,1.07,1.87,8965.21,1.13,-23.8,-22.25,3.92,2.21,59.64,104.86,2.51,1
49.8,30.45,1.43,2.41,13159.2,0.4,-13.09,-5.17,3.67,5.03,82.88,127.18,2.44,1
48.22,37.67,1.39,2.23,12547.22,0.72,-19.75,-18.65,3.85,0.15,57.66,44.67,2.68,1
45.81,36.27,1.57,1.77,7819.31,0.51,-8.23,-20.75,3.73,3.63,59.35,126.34,3.06,1
49.24,37.89,1.01,1.52,8142.44,0.16,-12.93,-14.59,3.66,5.87,37.61,91.58,2.57,1
42.1,38.82,1.15,2.27,5446.31,1.11,-24.9,-10.19,3.79,4.57,67.7,43.23,2.71,1
44.15,30.99,1.53,1.97,13090.18,1.17,-18.13,-14.46,3.1,1.99,48.11,128.17,1.8,1
47.97,31.89,1.13,1.85,9461.01,0.52,-20.46,-4.38,3.1,1.99,83.71,155.39,1.66,1
40.49,35.3,1.22,2.11,9558.79,0.82,-7.6,-18.02,3.39,0.59,49.85,99.33,3.17,1
49.8,30.45,1.43,2.41,13159.2,0.4,-13.09,-5.17,3.67,5.03,82.88,127.18,2.44,1
42.92,31.97,1.32,1.74,9782.84,0.94,-11.65,-18.02,2.9,3.4,31.24,95.3,3.31,1
45.26,35.65,1.11,1.62,13866.29,0.24,-15.52,-16.03,3.06,-0.68,74.14,158.19,2.33,1
43.31,32.06,1.54,2.28,4970.48,0.76,-8.53,-16.54,3.47,2.74,74.22,137.52,2.44,1
43.24,37.12,1.11,2.31,10604.78,0.14,-15.59,-13.58,1.18,-0.59,78.16,71.49,1.71,1
48.77,33.37,1.28,2.2,6735.34,0.15,-13.41,-11.13,2.72,4.04,60.69,57.84,2.88,1
49.57,37.86,1.21,2.33,12306.06,0.54,-14.3,-11.18,1.4,4.96,33.48,46.41,2.56,1
41.37,30.1,1.14,2.16,12920.12,0.41,-23.64,-14.4,2.02,1.34,32.84,102.39,1.64,1
44.22,37.06,1.2,1.91,13177.86,1.03,-21.36,-5.68,1.13,-0.28,36.1,80.76,1.77,1
45.77,36.85,0.98,2.44,6161.33,1.02,-16.06,-18.05,3.57,5.81,58.76,105.96,2.39,1
49.65,35.81,1.05,2.29,3264.12,1.04,-22.62,-24.47,1.43,4.85,33.04,149.65,1.63,1
44.03,35.91,1.05,1.66,10656.42,0.28,-21.62,-6.3,3.33,-0.3,74.18,138.77,3.48,1
44.53,32.34,1.45,1.51,5002.14,0.68,-9.99,-11.69,1.73,0.47,47.62,118.32,2.73,1
44.63,33.17,1.4,2.27,3247.23,0.46,-18.75,-20.0,2.65,1.37,39.41,130.02,2.04,1
40.24,30.96,1.09,1.73,14109.31,0.71,-20.98,-21.89,1.23,3.54,81.65,44.91,1.96,1
40.9,33.18,0.92,2.26,12842.3,0.98,-5.65,-22.31,3.76,3.84,37.23,157.26,2.98,1
48.46,38.97,1.37,2.37,12234.52,0.32,-12.17,-12.97,3.18,2.15,76.34,82.45,3.92,1
40.61,34.85,0.91,2.18,8036.3,1.19,-12.96,-12.44,3.67,1.27,44.99,131.66,2.08,1
45.5,31.83,1.55,2.43,14710.04,0.16,-11.41,-5.74,1.93,3.34,70.17,55.51,2.89,1
45.44,33.43,1.3,2.38,4744.05,0.47,-9.56,-19.51,1.86,-0.96,45.14,133.75,2.5,1
48.14,33.31,0.86,2.06,6236.22,0.19,-13.76,-24.4,3.34,2.93,44.0,92.89,3.34,1
45.12,35.16,0.95,2.07,13753.4,1.03,-6.66,-19.13,3.23,4.4,34.75,148.23,1.66,1
44.35,33.79,1.19,2.44,12878.41,0.11,-8.97,-16.15,3.93,-0.09,80.94,98.82,3.41,1
43.24,36.03,1.12,1.73,6983.7,0.98,-7.87,-21.1,3.6,0.89,75.38,66.81,3.14,1
49.68,36.53,1.01,2.18,14497.78,1.1,-6.14,-6.3,3.67,2.5,82.19,126.44,1.79,1
45.79,39.33,1.35,1.83,8734.89,0.66,-6.49,-10.89,2.04,5.21,32.65,60.56,3.34,1
45.78,36.17,1.54,1.69,3189.66,0.46,-6.48,-10.34,2.39,-0.54,57.39,44.12,2.69,1
41.74,31.93,0.96,2.04,13323.64,0.68,-11.85,-7.79,3.97,0.92,86.52,63.46,3.12,1
40.63,35.71,1.08,2.49,7104.75,0.61,-5.29,-8.72,3.11,4.22,67.33,140.55,3.1,1
49.49,30.2,1.36,1.63,11505.1,0.42,-17.73,-5.88,1.17,1.35,57.73,108.11,3.32,1
40.49,31.39,0.94,2.39,3036.23,0.54,-5.74,-4.37,3.46,2.72,50.77,128.07,2.13,1
47.29,35.25,1.05,1.57,8943.75,0.89,-5.1,-24.61,2.6,5.59,36.36,88.15,3.39,1
40.6,33.0,1.4,1.55,10453.71,0.13,-15.57,-5.45,1.03,2.69,33.99,144.05,2.02,1
44.63,33.17,1.4,2.27,3247.23,0.46,-18.75,-20.0,2.65,1.37,39.41,130.02,2.04,1
41.3,31.38,1.37,1.55,8719.47,0.71,-16.51,-19.55,2.87,-0.32,40.48,75.44,2.27,1
44.74,30.5,1.25,1.9,9438.55,0.57,-23.93,-5.88,1.23,0.41,74.42,108.53,3.88,1
48.16,31.01,0.92,2.2,3542.81,0.73,-6.8,-13.25,3.04,-0.81,68.1,112.76,2.46,1
48.17,31.55,1.01,2.44,11696.84,0.9,-8.12,-10.06,1.88,5.18,49.86,153.55,3.08,1
