Cell_ID,Batch_ID,Production_Line,Shift,Supplier,Ambient_Temp_C,Anode_Overhang_mm,Electrolyte_Volume_ml,Internal_Resistance_mOhm,Capacity_mAh,Retention_50Cycle_Pct,Defect_Type,Inspector_Comment,QC_Grade
CELL-005305,BTH-0004,Line_1,Morning,VoltIndustries,26.0,0.127,14.92,15.02,5062.0,97.63,High Internal Resistance,,Grade A
CELL-010122,BTH-0004,Line_1,Morning,ChemCorp,24.45,0.169,15.19,13.98,5000.0,97.93,None,,Grade A
CELL-018458,BTH-0004,Line_1,Night,VoltIndustries,19.96,0.145,15.11,14.8,4980.0,96.42,None,,Grade A
CELL-003744,BTH-0004,Line_1,Night,ChemCorp,19.07,0.172,14.98,13.96,5014.0,97.84,None,,Grade A
CELL-015347,BTH-0004,Line_1,Evening,ChemCorp,24.73,0.154,14.92,13.61,5023.0,97.77,None,,Grade A
CELL-007877,BTH-0004,Line_1,Morning,ChemCorp,22.97,0.152,14.98,13.95,5000.0,95.54,None,,Grade A
CELL-000677,BTH-0004,Line_3,Evening,LithioMat,23.81,0.17,15.25,13.33,5000.0,97.39,None,,Grade A
CELL-004230,BTH-0004,Line_1,Evening,VoltIndustries,22.33,0.131,14.89,14.39,4988.0,96.54,None,,Grade A
CELL-018102,BTH-0004,Line_1,Morning,ChemCorp,23.78,0.141,15.12,14.31,4910.0,97.84,None,,Grade A
CELL-014119,BTH-0004,Line_2,Morning,VoltIndustries,24.5,0.165,15.03,15.1,5002.0,96.27,High Internal Resistance,,Grade A
CELL-001288,BTH-0004,Line_2,Night,ChemCorp,21.03,0.174,15.12,14.1,5033.0,96.36,None,,Grade A
CELL-002013,BTH-0004,Line_1,Morning,LithioMat,24.67,0.138,15.18,14.03,4974.0,97.89,None,,Grade A
CELL-016611,BTH-0004,Line_3,Morning,ChemCorp,24.03,0.133,14.98,14.08,5029.0,96.61,None,,Grade A
CELL-007578,BTH-0004,Line_1,Evening,LithioMat,23.82,0.133,15.12,13.98,4999.0,97.4,None,,Grade A
CELL-000450,BTH-0004,Line_2,Morning,ChemCorp,25.24,0.172,14.9,13.81,4993.0,97.68,None,,Grade A
CELL-006880,BTH-0004,Line_1,Night,ChemCorp,23.24,0.144,15.12,14.55,5045.0,96.83,None,,Grade A
CELL-002611,BTH-0004,Line_3,Evening,ChemCorp,26.02,0.151,14.69,16.33,4829.0,93.32,High Internal Resistance,,Scrap
CELL-002346,BTH-0004,Line_1,Morning,ChemCorp,26.2,0.129,14.77,15.51,4961.0,91.47,High Internal Resistance,,Grade B
CELL-001312,BTH-0004,Line_3,Morning,ChemCorp,22.16,0.15,14.9,14.16,4960.0,98.2,None,,Grade A
CELL-005621,BTH-0004,Line_2,Morning,LithioMat,24.15,0.109,14.87,13.31,5048.0,96.48,Poor Retention,,Scrap
CELL-010602,BTH-0004,Line_1,Night,ChemCorp,22.25,0.196,14.98,14.1,4969.0,97.34,None,,Grade A
CELL-013485,BTH-0004,Line_2,Night,VoltIndustries,19.51,0.14,15.13,14.73,5007.0,96.71,None,Routine visual inspection passed.,Grade A
CELL-016897,BTH-0004,Line_1,Evening,ChemCorp,21.03,0.147,15.09,14.14,5016.0,95.53,None,,Grade A
CELL-013466,BTH-0004,Line_1,Night,ChemCorp,23.25,0.126,14.95,14.95,5052.0,97.7,None,,Grade A
CELL-015698,BTH-0004,Line_3,Morning,VoltIndustries,,0.158,14.7,15.06,4974.0,96.22,High Internal Resistance,,Grade A
CELL-009790,BTH-0004,Line_3,Evening,ChemCorp,21.79,0.132,14.94,13.05,4990.0,97.09,None,Shift handover completed.,Grade A
CELL-010620,BTH-0004,Line_1,Morning,LithioMat,24.32,0.171,14.86,13.95,4971.0,98.45,None,,Grade A
CELL-014720,BTH-0004,Line_1,Morning,LithioMat,23.29,0.148,15.08,13.24,4983.0,97.09,None,,Grade A
CELL-008836,BTH-0004,Line_1,Evening,ChemCorp,23.91,0.162,15.09,14.44,4975.0,96.33,None,,Grade A
CELL-011755,BTH-0004,Line_2,Evening,ChemCorp,25.32,0.144,15.24,13.81,4958.0,96.72,None,,Grade A
CELL-018319,BTH-0004,Line_1,Evening,LithioMat,23.79,0.136,14.94,13.4,4981.0,96.83,None,,Grade A
CELL-019586,BTH-0004,Line_3,Night,VoltIndustries,21.32,0.153,14.92,15.17,5014.0,98.44,High Internal Resistance,,Grade A
CELL-001802,BTH-0004,Line_2,Night,ChemCorp,21.49,0.134,14.9,13.47,5005.0,97.71,None,,Grade A
CELL-000990,BTH-0005,Line_1,Evening,LithioMat,23.21,0.163,15.03,14.26,4993.0,97.58,None,,Grade A
CELL-001412,BTH-0005,Line_1,Morning,VoltIndustries,21.8,0.198,14.91,15.24,4983.0,97.33,High Internal Resistance,,Grade B
CELL-016415,BTH-0005,Line_1,Morning,LithioMat,21.2,0.187,15.0,14.51,4993.0,98.2,None,,Grade A
CELL-017707,BTH-0005,Line_3,Night,ChemCorp,20.26,0.164,14.91,13.42,4964.0,97.25,None,,Grade A
CELL-010013,BTH-0005,Line_3,Morning,ChemCorp,24.46,0.156,15.06,14.13,4963.0,96.79,None,,Grade A
CELL-003182,BTH-0005,Line_1,Morning,VoltIndustries,26.02,0.123,14.73,16.5,4737.0,92.86,Severe Capacity Fade,,Scrap
CELL-000845,BTH-0005,Line_1,Evening,LithioMat,24.54,0.151,14.96,13.62,4980.0,97.73,None,,Grade A
CELL-003122,BTH-0005,Line_1,Evening,VoltIndustries,24.62,0.121,14.96,15.36,4951.0,97.12,High Internal Resistance,,Grade B
CELL-016172,BTH-0005,Line_3,Morning,ChemCorp,24.72,0.161,15.13,13.91,5005.0,97.63,None,,Grade A
CELL-010349,BTH-0005,Line_1,Evening,ChemCorp,23.61,0.136,14.85,13.31,5004.0,96.42,None,,Grade A
CELL-014787,BTH-0005,Line_1,Evening,VoltIndustries,27.32,0.154,14.8,14.21,4968.0,97.04,None,,Grade A
CELL-000177,BTH-0005,Line_2,Morning,ChemCorp,19.34,0.143,14.9,13.13,4995.0,96.18,None,,Grade A
CELL-004810,BTH-0005,Line_2,Night,ChemCorp,21.96,0.161,15.03,14.02,5032.0,96.0,None,,Grade A
CELL-010692,BTH-0005,Line_3,Night,LithioMat,20.66,0.109,14.79,15.64,4904.0,92.56,High Internal Resistance,,Scrap
CELL-004789,BTH-0005,Line_2,Morning,VoltIndustries,25.0,0.172,15.05,14.79,4953.0,96.34,None,,Grade A
CELL-005856,BTH-0005,Line_2,Morning,LithioMat,23.07,0.164,14.99,14.17,4953.0,97.32,None,,Grade A
CELL-002800,BTH-0005,Line_1,Night,VoltIndustries,21.24,0.151,14.95,15.94,4802.0,93.47,High Internal Resistance,,Grade B
CELL-007822,BTH-0005,Line_1,Morning,LithioMat,23.85,0.159,15.12,14.35,4946.0,96.15,None,,Grade A
CELL-015835,BTH-0005,Line_2,Evening,ChemCorp,22.64,0.159,14.96,13.86,5024.0,97.21,None,,Grade A
CELL-009971,BTH-0005,Line_1,Night,ChemCorp,20.85,0.144,15.1,14.1,4985.0,97.33,None,,Grade A
CELL-018626,BTH-0005,Line_1,Night,ChemCorp,20.9,0.122,15.08,14.21,5011.0,97.34,None,,Grade B
CELL-017234,BTH-0005,Line_2,Morning,ChemCorp,23.51,0.144,15.12,13.59,4954.0,96.81,None,,Grade A
CELL-007463,BTH-0005,Line_1,Night,LithioMat,21.8,0.156,15.05,14.15,5084.0,96.88,None,,Grade A
CELL-002127,BTH-0005,Line_2,Evening,ChemCorp,25.29,0.169,14.96,14.46,5029.0,97.16,None,,Grade A
CELL-007352,BTH-0005,Line_2,Night,ChemCorp,20.23,0.11,15.09,13.92,4988.0,96.4,Poor Retention,,Scrap
CELL-006579,BTH-0005,Line_1,Morning,ChemCorp,23.64,0.144,15.07,14.28,4977.0,98.07,None,,Grade A
CELL-007267,BTH-0005,Line_3,Night,LithioMat,23.34,0.101,15.21,13.33,4999.0,96.26,Poor Retention,Slight electrolyte spill cleared by tech.,Scrap
CELL-003326,BTH-0005,Line_3,Night,ChemCorp,21.0,0.164,15.06,14.0,5005.0,99.25,None,,Grade A
CELL-003987,BTH-0005,Line_1,Morning,LithioMat,23.34,0.163,14.92,13.26,4995.0,98.05,None,,Grade A
CELL-018172,BTH-0005,Line_1,Morning,LithioMat,22.14,0.14,15.01,13.55,4963.0,97.21,None,,Grade A
CELL-001157,BTH-0005,Line_1,Night,ChemCorp,20.37,0.187,14.94,14.4,5050.0,96.67,None,,Grade A
CELL-019165,BTH-0005,Line_2,Morning,ChemCorp,21.98,0.151,15.14,14.5,5038.0,96.74,None,,Grade A
CELL-015000,BTH-0005,Line_2,Night,VoltIndustries,22.39,0.16,14.99,14.63,5016.0,97.51,None,,Grade A
CELL-015143,BTH-0005,Line_2,Night,LithioMat,20.18,0.142,14.73,15.1,4982.0,96.95,High Internal Resistance,,Grade A
CELL-005361,BTH-0005,Line_2,Night,ChemCorp,23.43,0.158,15.13,14.22,5000.0,98.07,None,,Grade A
CELL-000570,BTH-0005,Line_1,Evening,ChemCorp,24.03,0.152,14.94,13.89,5008.0,95.35,None,,Grade A
CELL-001479,BTH-0005,Line_3,Night,ChemCorp,21.41,0.184,15.09,14.39,5004.0,97.87,None,,Grade A
CELL-014784,BTH-0006,Line_2,Morning,ChemCorp,28.16,0.136,14.81,14.5,4991.0,97.36,None,,Grade A
CELL-014048,BTH-0006,Line_1,Night,LithioMat,23.75,0.14,15.05,14.16,5007.0,98.42,None,,Grade A
CELL-008982,BTH-0006,Line_3,Evening,ChemCorp,21.64,0.151,15.12,14.24,5010.0,96.22,None,,Grade A
CELL-007593,BTH-0006,Line_1,Evening,LithioMat,24.11,0.138,15.09,14.2,4972.0,97.89,None,,Grade A
CELL-007581,BTH-0006,Line_1,Evening,ChemCorp,,0.133,14.99,14.33,4962.0,97.88,None,,Grade A
CELL-012016,BTH-0006,Line_1,Morning,VoltIndustries,23.73,0.142,15.0,15.2,4891.0,97.18,High Internal Resistance,,Grade A
CELL-018506,BTH-0006,Line_2,Morning,ChemCorp,23.13,0.127,14.97,13.86,5035.0,96.88,None,,Grade A
CELL-018405,BTH-0006,Line_2,Evening,VoltIndustries,23.8,0.163,15.05,15.35,4949.0,97.91,High Internal Resistance,,Grade B
CELL-008596,BTH-0006,Line_2,Morning,ChemCorp,24.35,0.129,14.9,14.63,5006.0,97.64,None,,Grade A
CELL-007016,BTH-0006,Line_1,Night,ChemCorp,22.01,0.168,15.03,13.94,5048.0,97.45,None,,Grade A
CELL-001307,BTH-0006,Line_1,Evening,LithioMat,25.58,0.135,14.87,13.58,5026.0,97.25,None,,Grade A
CELL-005907,BTH-0006,Line_3,Night,ChemCorp,18.46,0.15,15.04,13.91,4970.0,95.99,None,,Grade A
CELL-007189,BTH-0006,Line_2,Evening,LithioMat,22.91,0.165,15.08,13.21,4960.0,98.1,None,,Grade A
CELL-012223,BTH-0006,Line_2,Morning,ChemCorp,19.81,0.144,15.2,13.13,5056.0,95.48,None,,Grade A
CELL-005394,BTH-0006,Line_3,Evening,ChemCorp,22.1,0.131,15.11,14.47,4976.0,97.91,None,,Grade A
CELL-009461,BTH-0006,Line_2,Night,VoltIndustries,21.8,0.15,14.88,15.67,4921.0,91.26,High Internal Resistance,,Grade B
CELL-006213,BTH-0006,Line_2,Evening,ChemCorp,23.22,0.091,14.96,13.61,5039.0,96.89,Poor Retention,,Scrap
CELL-017568,BTH-0006,Line_3,Morning,ChemCorp,25.95,0.163,14.97,14.51,5050.0,96.85,None,,Grade A
CELL-018831,BTH-0006,Line_3,Night,LithioMat,20.42,0.136,15.02,13.84,5040.0,96.12,None,,Grade A
CELL-001017,BTH-0006,Line_3,Evening,LithioMat,24.87,0.142,14.92,14.19,5000.0,98.05,None,,Grade A
CELL-019632,BTH-0006,Line_1,Evening,LithioMat,22.33,0.117,15.0,13.95,5035.0,96.74,None,,Grade B
CELL-006394,BTH-0006,Line_2,Evening,ChemCorp,20.09,0.156,15.03,14.68,5034.0,96.96,None,,Grade A
CELL-007453,BTH-0006,Line_3,Evening,ChemCorp,24.04,0.133,15.04,14.46,4959.0,96.04,None,,Grade A
CELL-012496,BTH-0006,Line_1,Morning,LithioMat,25.26,0.169,15.06,14.1,5017.0,97.88,None,,Grade A
CELL-008498,BTH-0006,Line_2,Morning,ChemCorp,25.08,0.135,15.06,13.26,4952.0,96.17,None,,Grade A
CELL-000461,BTH-0006,Line_1,Evening,LithioMat,22.06,0.167,15.07,13.63,4972.0,97.71,None,,Grade A
CELL-011017,BTH-0006,Line_1,Night,VoltIndustries,23.38,0.181,15.13,14.95,5028.0,98.54,None,,Grade A
CELL-012776,BTH-0006,Line_1,Evening,ChemCorp,26.71,0.144,14.81,14.0,4974.0,98.1,None,,Grade A
CELL-001269,BTH-0006,Line_1,Night,ChemCorp,21.76,0.123,15.24,14.42,5048.0,96.97,None,,Grade B
